,country_name,casted,gender,education,employement,closeness_party,turnout,women_in_parliament
176,Australia,95,2,6,5,2,91.67,999.0
177,Australia,95,1,4,1,1,92.58,999.0
178,Australia,95,1,8,7,1,94.31,999.0
179,Australia,95,1,4,1,9,92.7,999.0
180,Australia,95,1,8,1,9,93.47,999.0
181,Australia,95,2,8,1,9,92.84,999.0
182,Australia,95,1,7,1,2,92.4,999.0
183,Australia,95,1,7,7,9,93.85,999.0
184,Australia,95,1,8,2,2,94.18,999.0
185,Australia,95,2,7,1,9,999.0,999.0
186,Australia,95,1,5,7,2,92.16,999.0
187,Australia,95,1,4,7,9,89.1,999.0
188,Australia,95,2,7,7,2,90.92,999.0
189,Australia,95,1,4,7,1,92.64,999.0
190,Australia,95,2,4,2,1,999.0,999.0
191,Australia,95,2,7,8,9,93.65,999.0
192,Australia,95,1,4,1,2,90.04,999.0
193,Australia,95,2,5,9,9,92.64,999.0
194,Australia,95,1,8,7,2,92.98,999.0
195,Australia,95,1,4,7,9,92.65,999.0
196,Australia,95,1,5,1,2,94.82,999.0
197,Australia,95,2,8,2,2,92.09,999.0
198,Australia,95,1,6,1,2,91.31,999.0
199,Australia,95,2,7,2,2,92.01,999.0
200,Australia,95,2,8,5,3,92.72,999.0
201,Australia,95,1,8,7,9,92.88,999.0
202,Australia,95,2,4,14,2,92.4,999.0
203,Australia,95,1,7,7,2,999.0,999.0
204,Australia,95,1,5,7,2,92.05,999.0
205,Australia,95,2,7,7,1,89.08,999.0
206,Australia,95,2,7,1,1,91.05,999.0
207,Australia,95,2,4,6,9,94.13,999.0
208,Australia,95,1,7,1,9,90.04,999.0
209,Australia,95,2,4,1,2,93.65,999.0
210,Australia,95,1,8,1,2,999.0,999.0
211,Australia,95,1,5,1,2,93.32,999.0
212,Australia,95,2,7,3,2,91.05,999.0
213,Australia,95,2,4,7,9,999.0,999.0
214,Australia,95,1,7,7,3,91.96,999.0
215,Australia,95,1,7,7,1,93.39,999.0
216,Australia,95,2,7,2,9,92.53,999.0
217,Australia,95,2,4,7,2,91.18,999.0
218,Australia,95,2,6,8,9,999.0,999.0
219,Australia,95,2,5,7,2,93.31,999.0
220,Australia,95,1,4,7,2,90.92,999.0
221,Australia,95,2,4,7,1,92.76,999.0
222,Australia,95,1,8,2,2,88.57,999.0
223,Australia,95,1,5,1,9,91.44,999.0
224,Australia,95,2,6,1,2,94.39,999.0
225,Australia,95,1,4,3,2,93.39,999.0
226,Australia,95,2,4,7,9,90.92,999.0
