,Thermo_republican,gender,age,government,interTrust,elecTrust,religion,relImportance,newReligion
262,75,-1,70,1,2,5,1,1,-1
263,0,-1,29,1,4,2,10,5,-1
264,0,-1,62,2,3,4,12,3,4
265,40,-1,60,1,4,3,2,3,-1
266,85,-1,69,1,2,1,2,2,-1
267,0,-1,58,1,2,2,9,5,-1
268,85,-1,47,1,3,3,1,2,-1
269,70,-1,53,2,2,3,2,1,-1
270,0,-1,72,1,3,4,12,3,3
271,0,-1,35,1,3,4,11,4,-1
272,85,-1,62,1,4,2,11,1,-1
273,0,-1,73,1,2,3,1,3,-1
274,100,-1,28,2,2,3,11,1,-1
275,85,-1,57,2,2,5,1,4,-1
276,60,-1,29,1,3,4,1,1,-1
277,75,-1,39,1,5,5,10,4,-1
278,0,-1,55,1,5,4,11,2,-1
279,0,-1,42,1,4,3,3,2,-1
280,85,-1,67,1,2,3,1,1,-1
281,85,-1,58,1,3,3,2,2,-1
282,85,-1,67,1,3,3,1,1,-1
283,100,-1,58,1,2,1,1,1,-1
284,0,-1,25,1,2,5,1,3,-1
285,15,-1,73,1,3,3,11,2,-1
286,0,-1,30,1,2,1,12,1,3
287,100,-1,38,2,2,4,11,1,-1
288,-9,-6,64,1,2,3,1,1,-1
289,0,-1,40,1,2,4,10,5,-1
290,60,-1,-9,1,2,4,1,4,-1
291,50,-1,51,1,2,1,1,2,-1
292,50,-1,61,1,4,2,11,4,-1
293,0,-1,59,1,2,5,1,1,-1
294,0,-1,58,1,2,2,1,1,-1
295,68,-1,53,-9,4,-9,2,2,-1
296,0,-1,75,1,3,5,1,3,-1
297,15,-1,37,1,2,4,12,4,3
298,70,-1,77,1,2,3,1,1,-1
299,50,-1,-9,-9,4,-9,11,3,-1
300,85,-1,68,1,3,3,2,1,-1
301,85,-1,66,2,3,5,2,3,-1
302,30,-1,43,1,4,2,11,1,-1
303,50,-1,72,1,2,4,-9,3,-1
304,40,-1,50,1,2,1,2,1,-1
305,0,-1,58,1,2,5,5,4,-1
306,15,-1,28,1,3,5,1,5,-1
307,30,-1,59,1,2,4,2,3,-1
308,100,-1,72,1,2,3,2,1,-1
309,0,-1,29,1,3,4,1,5,-1
310,0,-1,60,1,2,3,5,4,-1
311,0,-1,66,1,3,5,1,4,-1
312,0,-1,56,1,4,3,1,2,-1
313,85,-1,40,1,2,2,4,1,-1
314,90,-1,45,1,2,2,5,4,-1
315,60,-1,51,1,2,1,1,2,-1
316,0,-1,68,1,2,4,12,3,4
317,70,-1,22,1,2,4,2,3,-1
318,85,-1,40,1,2,3,1,1,-1
319,0,-1,63,1,3,4,1,1,-1
320,0,-1,59,1,2,5,11,1,-1
321,3,-1,53,-9,4,1,12,2,3
322,-9,-1,80,1,2,5,12,5,4
323,85,-1,67,1,3,5,2,2,-1
324,85,-6,35,2,2,4,2,4,-1
325,0,-1,69,1,2,4,10,5,-1
326,0,-1,80,1,2,4,1,3,-1
327,80,-1,62,1,2,4,1,1,-1
328,70,-1,38,1,3,1,11,2,-1
329,50,-1,71,1,2,3,11,3,-1
330,70,-1,80,2,4,3,1,4,-1
331,0,-5,61,1,2,4,5,3,-1
332,100,-1,65,1,4,5,1,1,-1
333,15,-1,30,1,4,1,12,5,4
334,60,-1,38,2,2,4,11,1,-1
335,60,-6,80,1,2,4,2,1,-1
336,0,-1,80,1,2,5,9,5,-1
337,85,-1,-9,-9,2,3,2,1,-1
338,50,-1,65,1,4,2,1,3,-1
339,0,-1,48,1,2,5,10,5,-1
340,0,-1,38,1,2,4,9,5,-1
341,15,-1,-9,1,3,4,9,5,-1
342,15,-1,67,1,2,5,1,2,-1
343,0,-1,80,1,4,4,2,1,-1
344,0,-1,33,1,4,2,10,5,-1
345,100,-1,76,1,2,4,1,1,-1
346,0,-6,43,1,3,3,11,1,-1
347,0,-1,32,1,4,3,3,2,-1
348,95,-1,41,1,4,3,2,3,-1
349,85,-1,80,1,4,3,2,1,-1
350,15,-1,45,1,3,1,11,1,-1
351,0,-1,56,1,3,4,10,5,-1
352,70,-1,68,1,2,2,-9,2,-1
353,15,-1,73,1,2,5,9,1,-1
354,0,-1,69,1,3,5,1,4,-1
355,0,-1,73,1,4,4,10,4,-1
356,100,-1,43,1,3,4,10,4,-1
357,50,-1,48,1,4,3,11,3,-1
358,85,-1,62,2,2,4,2,1,-1
359,20,-1,41,1,2,4,11,2,-1
360,0,-1,20,2,3,2,3,1,-1
361,70,-1,63,1,3,4,1,1,-1
362,15,-1,34,1,2,4,2,4,-1
363,-9,-6,80,1,4,3,12,5,-9
364,85,-1,76,1,3,3,1,3,-1
365,70,-1,44,1,2,4,1,4,-1
366,0,-6,51,1,2,3,11,3,-1
367,0,-1,69,1,2,3,2,1,-1
368,100,-1,27,2,3,3,1,3,-1
369,60,-1,48,1,2,4,1,1,-1
370,0,-1,74,1,4,1,12,5,4
371,0,-1,72,1,2,3,10,5,-1
372,70,-1,60,1,4,1,1,2,-1
373,0,-1,32,1,3,4,12,4,4
374,30,-1,70,1,3,3,2,3,-1
375,70,-1,50,1,3,3,1,3,-1
376,0,-1,59,1,3,4,2,4,-1
377,0,-1,52,1,2,3,7,5,-1
378,85,-6,67,1,2,4,1,3,-1
379,85,-1,60,2,3,1,2,2,-1
380,15,-1,24,1,2,4,12,5,4
381,60,-1,31,1,5,3,9,5,-1
382,85,-1,39,1,3,3,11,1,-1
383,0,-1,73,1,3,4,7,3,-1
384,0,-1,43,1,3,2,11,1,-1
385,0,-1,28,1,4,3,9,5,-1
386,0,-1,70,2,2,5,1,2,-1
387,0,-1,72,1,2,4,1,3,-1
388,0,-1,59,1,2,3,2,2,-1
389,40,-1,35,1,4,3,9,5,-1
390,100,-1,26,1,3,2,11,1,-1
391,0,-1,80,1,4,2,2,1,-1
392,0,-1,76,1,2,4,12,5,4
393,0,-1,31,1,2,5,12,5,3
394,60,-1,24,1,4,2,12,4,4
395,0,-1,53,2,2,4,1,2,-1
396,0,-1,55,1,3,5,11,1,-1
397,0,-1,39,1,3,4,10,5,-1
398,30,-1,32,1,3,3,2,1,-1
399,100,-1,80,1,4,3,2,1,-1
400,0,-6,45,1,4,1,2,1,-1
401,100,-1,40,2,3,2,12,1,4
402,0,-1,64,1,4,-9,-9,5,-1
403,0,-1,40,1,3,3,12,5,3
404,0,-1,52,1,4,4,5,5,-1
405,0,-1,67,1,2,4,2,4,-1
406,0,-1,72,1,2,3,1,3,-1
407,85,-1,-9,1,2,3,1,1,-1
408,75,-1,79,1,3,3,1,3,-1
409,0,-1,67,1,4,5,2,1,-1
410,15,-1,24,1,2,3,12,5,4
411,0,-1,43,1,2,2,12,5,4
412,0,-1,52,1,2,4,11,2,-1
413,100,-1,-9,-9,2,3,1,3,-1
414,0,-1,62,1,5,2,2,1,-1
415,66,-1,50,1,2,4,1,1,-1
416,60,-1,28,2,4,3,11,2,-1
417,100,-1,62,2,2,5,1,2,-1
418,85,-1,73,2,2,3,1,1,-1
419,95,-1,33,1,2,2,10,5,-1
420,0,-1,42,1,2,5,10,5,-1
421,0,-1,36,1,3,3,11,1,-1
422,30,-1,41,1,2,4,12,2,3
423,0,-1,51,1,2,2,11,2,-1
424,60,-1,30,1,4,2,12,2,3
425,0,-1,-9,1,4,3,11,1,-1
426,100,-6,48,1,2,4,1,1,-1
427,60,-1,66,2,4,4,1,1,-1
428,0,-1,80,1,5,3,2,1,-1
429,85,-1,49,1,3,4,2,1,-1
430,85,-1,30,2,2,2,11,4,-1
431,0,-1,70,1,2,4,1,2,-1
432,0,-1,65,1,3,5,1,3,-1
433,0,-1,57,1,2,5,11,2,-1
434,0,-1,71,1,2,3,2,2,-1
435,0,-6,31,1,2,3,11,3,-1
436,0,-1,40,1,4,1,2,3,-1
437,90,-1,66,2,3,4,1,2,-1
438,40,-6,45,2,3,2,12,2,3
439,85,-1,68,1,4,4,1,1,-1
440,0,-1,76,1,4,4,1,1,-1
441,85,-7,80,2,3,4,1,2,-1
442,85,-6,34,1,3,3,11,1,-1
443,70,-1,44,1,5,2,1,2,-1
444,0,-1,70,1,4,5,2,1,-1
445,0,-1,-9,2,4,5,2,4,-1
446,85,-1,71,1,3,1,1,1,-1
447,0,-5,37,1,4,3,12,3,3
448,85,-1,31,1,4,3,11,2,-1
449,70,-1,61,1,3,2,1,1,-1
450,100,-5,43,1,4,1,1,1,-1
451,0,-1,53,1,3,4,1,2,-1
452,-9,-1,73,1,3,5,2,1,-1
453,100,-1,38,1,2,1,11,1,-1
454,0,-1,73,1,2,2,11,5,-1
455,40,-1,31,1,4,2,12,3,3
456,80,-1,69,1,4,3,1,3,-1
457,0,-1,-9,1,2,5,1,1,-1
458,30,-1,45,1,3,1,2,1,-1
459,0,-1,41,2,3,5,12,1,4
460,100,-1,66,1,3,5,1,1,-1
461,20,-1,41,2,-9,3,1,2,-1
462,30,-1,62,1,3,5,2,4,-1
463,85,-1,31,1,2,2,12,3,4
464,85,-1,80,1,4,4,11,1,-1
465,85,-1,46,2,3,2,2,2,-1
466,85,-1,70,2,2,5,4,1,-1
467,0,-1,21,1,4,3,2,3,-1
468,100,-1,77,1,2,1,1,3,-1
469,85,-1,66,1,2,3,11,1,-1
470,60,-1,33,2,3,3,1,5,-1
471,30,-1,46,1,2,4,1,2,-1
472,0,-1,36,2,1,5,11,4,-1
473,50,-1,68,1,4,1,12,1,4
474,70,-1,71,1,1,3,12,5,4
475,75,-1,37,1,2,4,4,1,-1
476,100,-1,30,1,2,3,11,1,-1
477,0,-1,79,1,2,5,9,5,-1
478,0,-1,78,1,3,5,1,1,-1
479,30,-1,47,1,4,3,1,3,-1
480,0,-1,72,2,3,4,1,3,-1
481,0,-1,71,1,2,4,2,1,-1
482,85,-1,36,1,4,5,1,5,-1
483,0,-1,35,1,2,3,1,2,-1
484,0,-1,56,1,4,3,2,1,-1
485,15,-1,64,1,2,3,1,4,-1
486,0,-1,41,1,3,1,9,5,-1
487,0,-1,50,1,2,4,12,5,4
488,100,-6,77,1,2,2,1,1,-1
489,85,-1,-9,1,3,4,11,3,-1
490,100,-1,31,2,4,2,3,1,-1
491,0,-1,61,1,2,5,9,5,-1
492,0,-1,62,1,2,5,1,3,-1
493,100,-1,57,2,4,2,11,4,-1
494,0,-1,63,1,2,3,12,5,4
495,15,-1,75,1,3,4,1,4,-1
496,95,-1,52,1,2,3,2,2,-1
497,0,-1,64,1,2,2,1,1,-1
498,75,-1,41,1,2,4,1,2,-1
499,85,-1,51,2,2,3,1,1,-1
500,100,-1,45,1,2,1,12,5,4
501,0,-1,68,1,2,4,2,3,-1
502,90,-1,73,1,4,3,1,3,-1
503,60,-1,65,1,2,3,7,5,-1
504,90,-6,52,1,2,3,1,1,-1
505,85,-1,64,1,3,3,11,2,-1
506,100,-1,71,1,3,3,10,5,-1
507,40,-1,38,1,3,4,1,1,-1
508,0,-5,24,1,3,2,12,4,3
509,100,-1,66,2,2,4,2,4,-1
510,-9,-6,50,2,4,2,11,2,-1
511,0,-1,49,1,3,4,1,4,-1
512,15,-1,40,1,3,5,8,2,-1
513,100,-1,73,2,2,2,1,4,-1
514,-9,-1,65,1,3,3,10,4,-1
515,90,-1,34,1,2,5,11,2,-1
516,5,-1,53,1,2,4,2,5,-1
517,0,-1,39,1,3,5,1,3,-1
518,0,-1,71,1,4,4,10,5,-1
519,10,-1,33,1,4,2,2,1,-1
520,0,-1,34,2,2,2,12,5,2
521,70,-1,59,2,2,2,1,3,-1
522,85,-1,72,1,2,4,12,3,3
523,0,-1,52,1,4,3,2,3,-1
524,100,-1,53,1,3,3,2,3,-1
525,15,-1,35,1,4,2,3,4,-1
526,90,-1,68,1,2,2,1,3,-1
527,85,-1,54,2,3,4,12,5,1
528,0,-1,74,1,2,4,2,3,-1
529,100,-1,67,1,2,1,2,1,-1
530,60,-1,46,1,3,4,2,1,-1
531,100,-1,57,1,2,3,2,3,-1
532,0,-1,34,1,3,3,4,4,-1
533,50,-1,56,1,5,3,11,4,-1
534,0,-1,77,2,2,4,2,4,-1
535,85,-1,43,2,2,2,1,1,-1
536,30,-1,66,1,3,4,12,4,3
537,50,-1,-9,1,3,3,1,3,-1
538,95,-1,60,1,2,3,1,3,-1
539,100,-1,39,1,2,4,2,1,-1
540,30,-1,39,1,2,3,1,1,-1
541,85,-1,-9,1,4,3,2,3,-1
542,15,-1,53,1,3,2,11,3,-1
543,0,-1,71,2,2,5,5,1,-1
544,70,-1,76,2,2,5,1,1,-1
545,85,-1,80,1,2,3,2,3,-1
546,70,-1,76,1,2,4,1,1,-1
547,100,-1,-9,1,3,1,11,2,-1
548,85,-1,49,1,4,3,10,5,-1
549,50,-1,37,1,4,5,2,4,-1
550,100,-1,80,2,3,4,2,1,-1
551,0,-1,72,1,4,5,11,3,-1
552,100,-1,51,2,3,3,4,2,-1
553,0,-1,70,1,2,5,1,3,-1
554,0,-1,45,1,3,1,11,1,-1
555,0,-1,31,1,4,4,10,4,-1
556,0,-1,72,1,2,5,1,1,-1
557,95,-1,71,1,2,4,2,1,-1
558,100,-1,67,1,3,3,11,1,-1
559,40,-1,36,2,2,4,1,1,-1
560,100,-1,58,1,3,3,2,3,-1
561,85,-1,64,1,2,4,12,3,3
562,0,-1,34,1,3,3,2,3,-1
563,0,-1,36,1,2,4,9,5,-1
564,70,-1,44,1,4,4,11,3,-1
565,70,-1,54,1,2,5,2,3,-1
566,0,-1,28,1,2,3,9,5,-1
567,60,-1,-9,1,3,4,12,5,4
568,100,-1,77,1,2,3,2,3,-1
569,90,-1,70,1,2,3,12,5,3
570,70,-1,28,2,5,3,11,1,-1
571,0,-1,30,1,3,4,10,4,-1
572,0,-1,37,1,3,2,9,5,-1
573,85,-1,45,2,2,4,2,3,-1
574,0,-1,68,1,2,4,9,5,-1
575,85,-1,80,1,4,3,10,5,-1
576,85,-1,41,2,2,2,12,4,1
577,0,-1,32,1,3,4,11,2,-1
578,0,-1,24,1,3,2,1,1,-1
579,-9,-1,-9,1,2,5,12,5,2
580,0,-1,42,1,3,3,1,3,-1
581,52,-1,26,1,4,2,12,2,3
582,0,-1,50,1,3,4,1,4,-1
583,0,-1,46,1,2,5,3,2,-1
584,0,-1,52,2,2,4,12,3,3
585,100,-1,35,1,3,3,11,1,-1
586,0,-1,76,1,2,4,1,3,-1
587,0,-1,63,1,3,4,10,5,-1
588,0,-1,39,1,2,3,1,1,-1
589,100,-1,28,2,4,2,6,1,-1
590,40,-1,66,1,4,2,1,4,-1
591,0,-1,45,1,2,4,1,2,-1
592,0,-1,69,1,2,5,1,1,-1
593,85,-1,59,1,3,3,1,1,-1
594,-9,-1,79,1,3,2,1,4,-1
595,70,-1,80,1,4,2,12,5,4
596,0,-1,38,1,2,4,9,5,-1
597,15,-1,74,1,3,5,1,1,-1
598,10,-1,54,1,3,5,1,2,-1
599,0,-1,45,1,3,5,10,4,-1
600,0,-1,42,1,3,4,12,4,4
601,100,-1,75,1,3,5,1,1,-1
602,60,-1,33,1,2,2,12,5,3
603,0,-1,40,1,4,1,12,2,3
604,100,-1,56,2,3,4,3,2,-1
605,85,-1,44,1,4,3,10,5,-1
606,40,-1,80,1,2,4,2,1,-1
607,0,-1,25,1,2,5,12,5,3
608,100,-1,26,1,4,4,2,3,-1
609,0,-1,75,1,4,5,10,5,-1
610,0,-1,68,1,3,4,1,2,-1
611,75,-1,27,2,3,4,12,4,4
612,0,-1,46,1,4,3,2,4,-1
613,85,-1,71,1,2,4,1,3,-1
614,0,-1,49,1,2,4,12,5,3
615,15,-1,57,1,4,4,12,2,4
616,0,-1,80,1,2,5,1,1,-1
617,100,-1,66,1,2,3,1,1,-1
618,100,-1,43,1,2,3,4,3,-1
619,100,-1,55,1,4,1,11,1,-1
620,50,-1,64,1,4,3,1,1,-1
621,0,-1,80,1,4,5,12,5,3
622,0,-1,57,1,2,4,2,5,-1
623,0,-1,32,1,4,3,11,1,-1
